Field1;Field2;Field3;Field4;Text;Text1;Text2
POLITEKNIK NEGERI SRIWIJAYA;"Jl Srijaya Negara Bukit Besar
									Palembang";55;1:9;B;;29 Jurusan
UNIVERSITAS BANGKA BELITUNG;"Jalan Merdeka No. 4
									Pangkalpinang";55;1:3;C;"12.69 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";28 Jurusan
UNIVERSITAS MEDAN AREA;"1. Jalan Kolam No. 1 Medan Estate - Medan (Kampus Utama / I) 2. Jalan Setia Budi
									Medan";55;1:32;B;;20 Jurusan
UNIVERSITAS PATTIMURA;"Jalan Ir M Putuhena, Kampus Poka, AMBON
									Ambon";54;1:10;B;"9.46 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";60 Jurusan
UNIVERSITAS MUHAMMADIYAH JAKARTA;"Jalan KH Ahmad Dahlan, Cirendeu, Ciputat
									Jakarta Selatan";53;1:40;B;;43 Jurusan
UNIVERSITAS SEMARANG;"Jalan  Soekarno Hatta
									Semarang";53;1:8;B;;15 Jurusan
UNIVERSITAS NEGERI MANADO;"Jalan Kampus Unima
									Minahasa";53;1:19;B;"31.33 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";79 Jurusan
SEKOLAH TINGGI ILMU EKONOMI PERBANAS SURABAYA;"Jalan Nginden Semolo No 34-36
									Surabaya";52;1:36;A;;6 Jurusan
UNIVERSITAS BALIKPAPAN;"Jl Aipda KS Tubun Kelurahan Gunung Bahagia
									Balikpapan";52;1:55;B;;12 Jurusan
UNIVERSITAS DJUANDA;"Jalan Tol Ciawi No.1 Ciawi Bogor
									Bogor";52;1:29;B;;15 Jurusan
UNIVERSITAS BORNEO TARAKAN;"Jl. Amal Lama No.01 Tarakan
									Tarakan";52;1:27;B;"15.90 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";20 Jurusan
UNIVERSITAS CIPUTRA SURABAYA;"UC Town Citra Land
									Surabaya";51;1:27;A;;8 Jurusan
UNIVERSITAS MUHAMMADIYAH MAKASSAR;"Jalan Sultan Alauddin No 259
									Makassar";51;1:6;B;;35 Jurusan
UNIVERSITAS TARUMANAGARA;"Jalan S Parman No 1, Grogol
									Jakarta Barat";51;1:31;A;;32 Jurusan
UNIVERSITAS BHAYANGKARA SURABAYA;"Jl Achmad Yani 114, Wonocolo
									Surabaya";51;1:28;B;;11 Jurusan
UNIVERSITAS SAHID;"Jl Prof Dr Soepomo Sh No 84
									Jakarta Selatan";50;1:38;B;;11 Jurusan
UNIVERSITAS MUHAMMADIYAH SURABAYA;"Jalan Sutorejo 59
									Surabaya";50;1:23;B;;31 Jurusan
UNIVERSITAS WARMADEWA;"Jalan Terompong No. 24 Tanjung Bungkak Denpasar Bali
									Denpasar";50;1:10;B;;19 Jurusan
UNIVERSITAS MUHAMMADIYAH BENGKULU;"Jalan Bali Kota Bengkulu 38119
									Bengkulu";50;1:30;B;;27 Jurusan
UNIVERSITAS KRISTEN INDONESIA;"Jalan Mayjen Sutoyo, Cawang
									Jakarta Timur";50;1:21;B;;28 Jurusan
UNIVERSITAS WIJAYA KUSUMA SURABAYA;"Jl. Dukuh Kupang XX No.53, Dukuh Kupang, Dukuh Pakis
									Surabaya";50;1:53;B;;26 Jurusan
UNIVERSITAS MERDEKA MALANG;"Jl Terusan Raya Dieng No 62-64
									Malang";50;1:14;B;;26 Jurusan
UNIVERSITAS PENDIDIKAN NASIONAL;"Jl. Bedugul No. 39 Sidakarya
									Denpasar";50;1:43;B;;10 Jurusan
UNIVERSITAS ISLAM RIAU;"Jalan Kaharuddin Nasution, Simpang Tiga, Bukit Raya
									Pekanbaru";50;1:41;B;;36 Jurusan
UNIVERSITAS ISLAM NEGERI ANTASARI BANJARMASIN;"Jalan Jenderal Ahmad Yani Km. 4,5
									Banjarmasin Timur";50;1:16;B;;32 Jurusan
UNIVERSITAS MUHAMMADIYAH PONOROGO;"Jalan Cepu Km 3 Ngawi, Jawa Timur Indonesia
									Ngawi";50;1:30;B;;6 Jurusan
UNIVERSITAS KANJURUHAN;"Jl. S. Supriyadi No. 48 Kel. Bandungrejosari Kec. Sukun
									Sukun";50;1:52;B;;22 Jurusan
UNIVERSITAS MUHAMMADIYAH MAGELANG;"Kampus 1 : Jalan Tidar No 21  Kampus 2 : Jl. mayjend Bambang Soegeng KM5 Mertoy
									Magelang";50;1:35;B;;17 Jurusan
UNIVERSITAS 17 AGUSTUS 1945 SURABAYA;"Jalan Semolowaru No 45 Surabaya
									Jawa Timur";49;1:34;B;;26 Jurusan
UNIVERSITAS PELITA HARAPAN;"UPH Tower, Jalan MH Thamrin Boulevard 1100, Lippo Karawaci
									Tangerang";49;1:17;B;;45 Jurusan
UNIVERSITAS MUHAMMADIYAH JEMBER;"Jalan Karimata No 49
									Jember";49;1:45;B;;25 Jurusan
UNIVERSITAS MAHASARASWATI DENPASAR;"Jalan Kamboja No 11 A Kreneng Denpasar - Bali
									Denpasar";49;1:16;B;;16 Jurusan
UNIVERSITAS PGRI YOGYAKARTA;"Jalan PGRI Sonosewu No 117
									Bantul";49;1:49;B;;16 Jurusan
UNIVERSITAS HALU OLEO;"Kampus Bumi Tridharma Anduonohu, Jalan H.E.A. Mokodompit, Kodya Kendari, Sulawesi
									Kendari";49;1:24;B;"7.66 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";95 Jurusan
UNIVERSITAS BHAYANGKARA JAKARTA RAYA;"Jalan Dharmawangsa I No 1 Kebayoran Baru
									Jakarta Selatan";48;1:56;B;;12 Jurusan
POLITEKNIK NEGERI BANDUNG;"Jln.Gegerkalong Hilir Desa Ciwaruga
									Bandung";48;1:1;A;;40 Jurusan
UNIVERSITAS MUSLIM INDONESIA;"Jl. Urip Sumoharjo Km. 05 Makassar
									Makassar";48;1:30;B;;51 Jurusan
STMIK AKAKOM;"Jalan Raya Janti No 143 Karangjambe, Banguntapan, Bantul D.i. Yogyakarta
									Bantul";47;1:40;B;;5 Jurusan
UNIVERSITAS PROF DR MOESTOPO (BERAGAMA);"Jalan Hang Lekir I No 8
									Jakarta Pusat";47;1:34;B;;10 Jurusan
INSTITUT TEKNOLOGI NASIONAL MALANG;"Jalan Bendungan Sigura-gura 2 Jalan Raya Karanglo Km-2
									Malang";47;1:30;B;;16 Jurusan
UNIVERSITAS ISLAM MALANG;"Jalan Mayjen Haryono No 193
									Malang";46;1:34;B;"5.23 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";29 Jurusan
SEKOLAH TINGGI TEKNOLOGI GARUT;"Jalan Mayor Syamsu No 2 Desa Jayaraga Kecamatan Tarogong Kidul
									Garut";46;1:8;C;;6 Jurusan
UNIVERSITAS SATYA NEGARA INDONESIA;"Jl Arteri Pondok Indah No 11 Kebayoran Lama
									Jakarta Selatan";46;1:44;B;;12 Jurusan
POLITEKNIK NEGERI SEMARANG;"Jalan Prof H Soedarto SH Tembalang, Semarang
									Semarang";46;1:13;A;;29 Jurusan
UNIVERSITAS MUHAMMADIYAH GRESIK;"Jalan Sumatera No 101 Gresik Kta Baru (GKB) Gresik
									Gresik";45;1:;B;"54.72 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";32 Jurusan
UNIVERSITAS ISLAM 45;"Jalan Cut Meutia No 83
									Bekasi";45;1:37;C;;25 Jurusan
UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA;"Jalan Limau II Kebayoran Baru
									Jakarta Selatan";45;1:43;A;;42 Jurusan
UNIVERSITAS PEKALONGAN;"Jalan Sriwijaya No 3
									Pekalongan";45;1:48;B;;14 Jurusan
POLITEKNIK NEGERI JAKARTA;"Kampus Baru Universitas Indonesia
									Depok";45;1:20;A;;34 Jurusan
UNIVERSITAS BATANGHARI JAMBI;"Jl. Slamet Riyadi Broni Jambi
Kel. Sei. Putri Kec. Telanaipura 36122
									Jambi";45;1:43;C;;16 Jurusan
UNIVERSITAS INTERNASIONAL BATAM;"Jalan Gajah Mada, Sei Ladi, Tiban Indah, Sekupang, Kota Batam, Kepulauan Riau 29442
									Batam";45;1:3;C;;9 Jurusan
UNIVERSITAS JANABADRA;"Jl Tentara Rakyat Mataram 55
									Yogyakarta";44;1:26;B;;11 Jurusan
INSTITUT TEKNOLOGI ADHI TAMA SURABAYA;"Jl Arief Rachman Hakim 100
									Surabaya";44;1:44;C;;16 Jurusan
UNIVERSITAS ISLAM MAJAPAHIT;"Jalan Raya Jabon Mojokerto
									Mojokerto";44;1:35;C;;14 Jurusan
UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA;"Pakuwon City, Jalan Kalisari No.1, Kalisari, Mulyorejo, Kalisari, Mulyorejo
									Surabaya";44;1:23;A;;20 Jurusan
UNIVERSITAS MUHAMMADIYAH CIREBON;"Jalan Pasir Gede Raya Cianjur
									Cianjur";44;1:23;C;;16 Jurusan
UNIVERSITAS DEHASEN BENGKULU;"Jl. Meranti Raya No.32 Sawah Lebar Bengkulu
									Bengkulu";44;1:27;C;;18 Jurusan
UNIVERSITAS GARUT;"Jalan Raya Samarang No. 52.A Tarogong Kidul
									Garut";43;1:23;B;;14 Jurusan
UNIVERSITAS NUSANTARA PGRI KEDIRI;"Jl KH Achmad Dahlan 76 Mojoroto
									Kediri";43;1:86;C;;29 Jurusan
UNIVERSITAS KATOLIK WIDYA MANDALA MADIUN;"Jl Manggis N0 15-17
									Madiun";43;1:14;C;;9 Jurusan
SEKOLAH TINGGI MANAJEMEN PPM;"Jalan Menteng Raya No 9
									Jakarta Pusat";43;1:21;B;;3 Jurusan
UNIVERSITAS VETERAN BANGUN NUSANTARA;"Jl. Letjend Sujono Humardani No. 1
									Sukoharjo";42;1:7;B;;26 Jurusan
UNIVERSITAS BOROBUDUR;"Jalan Raya Kalimalang No 1
									Jakarta Timur";42;1:26;C;;20 Jurusan
UNIVERSITAS SILIWANGI;"Jl. Siliwangi No.24 Tasikmalaya
									Tasikmalaya";42;1:45;C;;55 Jurusan
POLITEKNIK PERKAPALAN NEGERI SURABAYA;"Kampus ITS Sukolilo, Jl. Teknik Kimia, Keputih, Sukolilo, Kota SBY, Jawa Timur 60111
									Surabaya";42;1:20;B;;17 Jurusan
STAIN KUDUS;"Jl. Conge Ngembal Rejo PO.BOX 51 Kudus Telp. (0291) 432677,438818
									Kudus";42;1:2;C;;17 Jurusan
SEKOLAH TINGGI ILMU EKONOMI YKPN;"Jalan Seturan Catur Tunggal Depok Sleman
									Sleman";41;1:59;B;;6 Jurusan
UNIVERSITAS MUHAMMADIYAH SUKABUMI;"Jalan R Syamsudin SH No 54
									Sukabumi";41;1:27;B;;20 Jurusan
INSTITUT INFORMATIKA DAN BISNIS DARMAJAYA;"Jalan Z.A. Pagar Alam, No.93 Labuhan Ratu
									Bandar Lampung";41;1:60;C;;10 Jurusan
UNIVERSITAS KATOLIK DE LA SALLE;"Kairagi I Kombos Manado - Sulawesi Indonesia 
									Manado";41;1:14;B;;11 Jurusan
UNIVERSITAS TRIBHUWANA TUNGGA DEWI;"Jl Telaga Warna, Tlogomas, Malang
									Malang";41;1:44;C;;18 Jurusan
POLITEKNIK NEGERI LHOKSEUMAWE;"Jalan Medan-Banda Aceh Km 280 Buketrata-Kota Lhokseumawe
									Lhokseumawe";41;1:9;B;;31 Jurusan
UNIVERSITAS CENDERAWASIH;"Kampus Uncen Waena Jl Camp Wolker
									Jayapura";41;1:25;B;"5.57 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";69 Jurusan
UNIVERSITAS WIDYA MATARAM;"Jalan Dalem Mangkubumen KT III/237, Kadipaten, Kraton
									Yogyakarta";41;1:32;B;;10 Jurusan
UNIVERSITAS MPU TANTULAR;"Jalan Cipinang Besar No 2
									D.K.I. Jakarta";41;1:23;B;;14 Jurusan
UNIVERSITAS ISLAM MADURA;"Kompleks PP Miftahul Ulum Bettet
									Pamekasan";41;1:29;C;;15 Jurusan
SEKOLAH TINGGI TEKNIK SURABAYA;"Jl Ngagel Jaya Tengah No 73-77
									Surabaya";40;1:18;B;;8 Jurusan
POLITEKNIK NEGERI MEDAN;"Jalan Almamater No 1 Kampus USU
									Sumatera Utara";40;1:16;B;;19 Jurusan
UNIVERSITAS KATOLIK WIDYA KARYA;"Jln. Bondowoso No.02
									Malang";40;1:11;C;;29 Jurusan
UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG;"-
									Semarang";39;1:0;B;;25 Jurusan
UNIVERSITAS GAJAYANA;"Jalan Mertojoyo Blok L, Merjosari Malang
									Malang";39;1:27;B;;11 Jurusan
UNIVERSITAS INDO GLOBAL MANDIRI;"Jl. Jendral Sudirman No. 629 Km. 3.5 Palembang
									Palembang";39;1:21.7;B;;19 Jurusan
UNIVERSITAS SURYAKANCANA;"Jalan Pasir Gede Raya Cianjur
									Cianjur";39;1:31;C;;16 Jurusan
SEKOLAH TINGGI ILMU EKONOMI MALANGKUCECWARA;"Jl. Terusan Candi Kalasan, Blimbing
									Malang";39;1:12;B;;4 Jurusan
POLITEKNIK NEGERI BANJARMASIN;"Jalan Brigjen H Hasan Basry Komplek Unlam
									Banjarmasin";39;1:14;C;;15 Jurusan
UNIVERSITAS ALWASHLIYAH;"Jalan Sisingamangaraja Km 5,5
									Sumatera Utara";38;1:25;C;;16 Jurusan
POLITEKNIK NEGERI JEMBER;"Jalan Mastrip, Sumbersari
									Jember";38;1:31;B;;40 Jurusan
UNIVERSITAS AL-AZHAR INDONESIA;"Komplek Masjid Agung Al Azhar

									Jakarta";38;1:24;B;;16 Jurusan
UNIVERSITAS ABDURRAB;"Jl. Riau Ujung No. 73, Tampan, Air Hitam, Payung Sekaki
									Pekanbaru";38;1:16;C;;16 Jurusan
UNIVERSITAS MUSAMUS MERAUKE;"Jalan Kamizaun Mopah Lama Merauke
									Merauke";37;1:20;B;"24.01 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";49 Jurusan
UNIVERSITAS MUHAMMADIYAH PONTIANAK;"Jl. Ahmad Yani No. 111
									Pontianak";37;1:5;B;;13 Jurusan
STMIK ATMA LUHUR;"Jl. Jendral Sudirman, Kel. Selindung Baru, Kec. Pangkal Balam
									Pangkalpinang";37;1:45;C;;4 Jurusan
STAIN PURWOKERTO;"Jl. Jend. A Yani No. 40A Purwanegara Purwokerto Utara
									Banyumas";37;1:14;B;;14 Jurusan
UNIVERSITAS AL-GHIFARI;"Jalan Cisaranten Kulon No 140
									Bandung";37;1:30;C;;7 Jurusan
INSTITUT TEKNOLOGI PADANG;"Jalan Gajah Mada Kandis Nanggalo
									Padang";37;1:44;B;;9 Jurusan
UNIVERSITAS MUHAMMADIYAH RIAU;"Jl. KH. Ahmad Dahlan No 88 Pekanbaru
									Pekanbaru";36;1:32;B;;15 Jurusan
UNIVERSITAS 45 MAKASSAR;"Jalan Urip Sumoharjo KM 4
									Makassar";36;1:11;B;;31 Jurusan
STAIN PAREPARE;"Jl. Amal Bakti, No. 08, Soreang Kota Parepare
									Pare - Indonesia";36;1:16;B;;7 Jurusan
UNIVERSITAS PGRI ADI BUANA;"Jalan Ngagel Dadi III-B No 37
									Surabaya";36;1:36;B;;29 Jurusan
UNIVERSITAS DAYANU IKHSANUDDIN;"Jalan Yos Sudarso No 43
									Baubau";35;1:28;C;;16 Jurusan
UNIVERSITAS PANCASAKTI MAKASSAR;"Jalan Andi Mangerangi No 73 Makassar
									Makassar";35;1:8;B;;8 Jurusan
UNIVERSITAS SAINS ALQUR AN;"Jalan Raya Kalibeber Km 3 Mojotengah
									Wonosobo";35;1:49;B;;24 Jurusan
UNIVERSITAS KHAIRUN;"Jalan Pertamina Kampus II Gambesi
									Ternate";35;1:19;B;"13.02 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";37 Jurusan
UNIVERSITAS MUHAMMADIYAH ACEH;"Jalan Muhammadiyah No 91 Desa Batoh, Kecamatan Lueng Bata
									Banda Aceh";35;1:53;C;;13 Jurusan
UNIVERSITAS BATURAJA;"Jl Ratu Penghulu No 2301
									Ogan Komering Ulu";34;1:63;B;;11 Jurusan
UNIVERSITAS WIJAYA KUSUMA PURWOKERTO;"Kampus Karangsalam Purwokerto
									Banyumas";34;1:3;B;;12 Jurusan
UNIVERSITAS MUHAMMADIYAH GORONTALO;"Jl. Prof. Dr. H. Mansoer Pateda Desa Pentadio Timur, Kec. Telaga Biru
									Gorontalo";34;1:23;B;;12 Jurusan
UNIVERSITAS ISLAM MAKASSAR;"Jl Perintis Kemerdekaan No 29
									Makassar";34;1:28;B;;26 Jurusan
UNIVERSITAS KAPUAS SINTANG;"Jl. YC Oevang Oeray No.92, Baning Kota, Kec. Sintang, Kabupaten Sintang
									Kalimantan Barat";34;1:33;C;;6 Jurusan
POLITEKNIK NEGERI AMBON;"Jalan Ir M Putuhena Wailela Rumahtiga
									Ambon";34;1:7;B;;7 Jurusan
UNIVERSITAS PAWYATAN DAHA;"Jl Soekarno-hatta No 49 Kediri
									Kediri";34;1:14;C;;7 Jurusan
UNIVERSITAS ISLAM DARUL `ULUM;"Jln. Airlangga 03 Sukodadi Lamongan
									Lamongan";34;1:24;C;;19 Jurusan
UNIVERSITAS SLAMET RIYADI;"Jalan Sumpah Pemuda No. 18 Kadipiro Banjarsari Surakarta Jawa Tengah
									Surakarta";34;1:17;B;;18 Jurusan
UNIVERSITAS WIRARAJA;"Jl. Raya Sumenep - Pamekasan KM.5 Patean Sumenep
									Sumenep";34;1:45;C;;11 Jurusan
UNIVERSITAS PEMBANGUNAN PANCA BUDI;"Jl. Jend. Gatot Subroto Km 4,5 Sie Sikambing Medan 20122
									Medan";34;1:3;B;;16 Jurusan
UNIVERSITAS HINDU INDONESIA;"Jl. Sangalangit , Tembau , Penatih
									Kota Denpasar - Prop. Bali";33;1:7;B;;17 Jurusan
UNIVERSITAS ALKHAIRAAT;"Jalan Diponegoro No 39 Palu
									Kota Palu - Prop. Sulawesi Tengah - Indonesia";33;1:20;C;;13 Jurusan
UNIVERSITAS MAHENDRADATTA;"Jalan Ken Arok No 12
									Denpasar";33;1:17;C;;5 Jurusan
UNIVERSITAS DWIJENDRA;"Jl. Kamboja No.17, Dangin Puri Kangin, Denpasar Utara
									Denpasar";32;1:31;B;;10 Jurusan
UNIVERSITAS KRISTEN INDONESIA TORAJA;"Jalan Nusantara No 12
									Tana Toraja";32;1:8;B;;14 Jurusan
UNIVERSITAS PANJI SAKTI SINGARAJA;"Jl. Bisma No.22, Banjar Tegal, Singaraja
									Buleleng";32;1:15;C;;6 Jurusan
UNIVERSITAS SERANG RAYA;"Jl. KH. Amin Jasuta No. 15 C Kaloran Brimob Serang
									Serang";32;1:53;B;;15 Jurusan
UNIVERSITAS TRIDINANTI;"Jl Kapten Marzuki No 2446 Kamboja
									Sumatera Selatan";32;1:40;C;;18 Jurusan
UNIVERSITAS MUARA BUNGO;"Jalan Diponoro No. 27 Muara Bungo
									Bungo";31;1:41;C;;11 Jurusan
UNIVERSITAS KRISTEN INDONESIA TOMOHON;"Jalan Raya Talete II Kampus II UKIT Kuranga
									Tomohon";31;1:14;B;;16 Jurusan
UNIVERSITAS WISNUWARDHANA;"Jl. Danau Sentani 99
									Malang";31;1:27;B;;14 Jurusan
UNIVERSITAS 17 AGUSTUS 1945 CIREBON;"Jalan Perjuangan No 17 By Pass
									Cirebon";31;1:28;B;;14 Jurusan
UNIVERSITAS WAHID HASYIM;"Menoreh Tengah X/22 Sampangan
									Semarang";31;1:78;B;;20 Jurusan
UNIVERSITAS JABAL GHAFUR;"Jalan Gle Gapui, Peutoe, Sigli
									Pidie";31;1:42;C;;20 Jurusan
UNIVERSITAS COKROAMINOTO PALOPO;"Jalan Latammacelling No 09-B
									Palopo";31;1:7;B;;14 Jurusan
UNIVERSITAS SINTUWU MAROSO POSO;"Jl. Pulau Timor No. 1
									Poso";31;1:24;B;;8 Jurusan
STMIK INDONESIA JAKARTA;"Jl. Siantar No.6 Cideng
									Jakarta Pusat";30;1:38;C;;2 Jurusan
UNIVERSITAS KUTAI KARTANEGARA TENGGARONG;"Jalan Gunung Kombeng No. 27 Tenggarong
									Kutai Kartanegara";30;1:49;C;;11 Jurusan
UNIVERSITAS MERDEKA MADIUN;"Jl. Serayu No. 79 Madiun
									Madiun";30;1:25;B;;11 Jurusan
UNIVERSITAS MUHAMMADIYAH PALANGKA RAYA;"Jalan RTA Milono Km 1,5  Palangka Raya Kalimantan Tengah
									Palangka Raya";30;1:29;B;;18 Jurusan
UNIVERSITAS ABDURACHMAN SALEH;"Jl PB Sudirman No 07 Patokan
									Probolinggo";30;1:38;B;;11 Jurusan
UNIVERSITAS MUHAMMADIYAH KENDARI;"Jalan KH Ahmad Dahlan No 10
									Kendari";29;1:39;C;;13 Jurusan
Universitas Pesantren Tinggi Darul  ulum;"Tromol Pos 10 Peterongan Ponpes Darul Ulum Jombang
									Jombang";29;1:20;B;;15 Jurusan
UNIVERSITAS ISLAM KADIRI;"Jl. Sersan Suharmaji No. 38
									Kediri";29;1:47;C;;10 Jurusan
UNIVERSITAS ISLAM AS-SYAFIIYAH;"Jl. Jatiwaringin Raya No.12, Jaticempaka, Pondok gede
									Bekasi";28;1:33;C;;21 Jurusan
UNIVERSITAS RATU SAMBAN;"Jl Jenderal Sudirman No 87 Bengkulu Utara
									Bengkulu Utara";28;1:17;C;;11 Jurusan
UNIVERSITAS MUHAMMADIYAH MALUKU UTARA;"Jln. K.H. Ahmad Dahlan No. 100, Kel. Sasa
									Ternate";28;1:57;B;;17 Jurusan
UNIVERSITAS 45 SURABAYA;"KOMPLEKS GEDUNG JUANG 45 JL. MAYJEND SUNGKONO 106
									Surabaya";27;1:10;C;;8 Jurusan
UNIVERSITAS NUSA NIPA;"Jl. Kesehatan No.3, Beru, Alok Tim
									Sikka";27;1:22;C;;11 Jurusan
UNIVERSITAS SURYADARMA;"Komplek Bandar Udara Halim Perdanakusuma Jl Protokol Halim PK - Jakarta
									Jakarta Timur";27;1:26;B;;12 Jurusan
UNIVERSITAS KATOLIK DARMA CENDIKA;"Jl. DR. Ir. H. Soekarno No. 201 Surabaya 60117
									Surabaya";27;1:13;B;;5 Jurusan
UNIVERSITAS GUNUNG RINJANI;"Jl. Raya Mataram-Lombok Km 50, Selong
									Lombok Timur";27;1:2;C;;6 Jurusan
UNIVERSITAS ISLAM INDRAGIRI;"Jl. Provinsi No. 1, Parit 1 Tembilahan Hulu
									Riau";27;1:64;C;;19 Jurusan
INSTITUT ILMU KEISLAMAN ANNUQAYAH (INSTIKA) GULUK-GULUK SUMENEP;"Jln. Bukit Lancaran Pondok Pesantren Annuqayah Guluk-Guluk
									Sumenep";27;1:1;C;;8 Jurusan
STAI ALHIKMAH JAKARTA SELATAN;"Jl. Jeruk Purut No. 10 Rt. 10/03 Cilandak Timur Pasar Minggu
									Jakarta Selatan";27;1:1;B;;4 Jurusan
STAIN PEKALONGAN;"Jl. Kusuma Bangsa No.9
									Pekalongan";27;1:1;C;;14 Jurusan
AKADEMI SEKRETARIS DAN MANAJEMEN PERSADA BUNDA;"Jl. Diponegoro No.42
									Pekanbaru";27;1:1;C;;2 Jurusan
STIS AL-WAHIDIYAH KEDIRI JAWA TIMUR;"Ponpes Kedunglo Al Munadhdhoroh Jl. KH. Wachid Hasyim Kediri
									Kediri";27;1:1;B;;1 Jurusan
STIT YAPTIP SIMPANG PASAMAN BARAT;"Jl. Bundo Kanduang No. 142, Simpang Ampek, Kab. Pasaman Barat, Prov. Sumatera Ba
									Pasaman Barat";27;1:1;C;;3 Jurusan
STAI CIREBON;"Komplek Islamic Centre Kab. Cirebon, Jl. Tuparev No. 111 Cirebon
									Cirebon";27;1:1;C;;2 Jurusan
POLTEKKES KEMENKES MANADO;"Jl. R. W. Mongisidi Malalayang II Manado
									Manado";27;1:1;B;;11 Jurusan
SEKOLAH TINGGI TEOLOGI BAPTIS JAKARTA;Grogol Petamburan;27;1:1;C;;2 Jurusan
SEKOLAH TINGGI ILMU MANAJEMEN HANDAYANI;"Jl. Tukad Banyusari No. 17B
									Denpasar";27;1:1;C;;2 Jurusan
SEKOLAH TINGGI AGAMA HINDU NEGERI TAMPUNG PENYANG PALANGKA RAYA;"Jalan G Obos 10, Palangka Raya, Kalimantan Tengah
									Jekan Raya";27;1:1;C;;11 Jurusan
UNIVERSITAS ISLAM NEGERI MATARAM;"Jl. Pendidikan No.35 Mataram
									Mataram";27;1:1;B;;24 Jurusan
UNIVERSITAS MUHAMMADIYAH PARE-PARE;"Jalan Jenderal Ahmad Yani KM 6
									Pare - Indonesia";27;1:1;B;;22 Jurusan
SEKOLAH TINGGI ILMU EKONOMI BENTARA PERSADA BATAM;"Kelurahan I Sub Wilayah Khusus
									Batam";27;1:1;C;;1 Jurusan
STIKES INSAN CENDEKIA MEDIKA JOMBANG;"JL. Halmahera, No. 33, Jombatan, Kaliwungu, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419
									Jombang";27;1:1;C;;6 Jurusan
AKADEMI KEBIDANAN BHAKTI PURNA HUSADA;"Jl. Raya Taktakan KM.1 cirengas
									Serang";27;1:1;C;;1 Jurusan
STISIPOL CANDRADIMUKA;"Jl. Swadaya Sekip Ujung, Ilir Timur
									Palembang";27;1:2;C;;5 Jurusan
INSTITUT STUDI ISLAM DARUSSALAM (ISID) GONTOR PONOROGO;"Jl. Raya Siman Km. 6, Siman, Demangan
									Ponorogo";27;1:2;B;;10 Jurusan
STAI MIFTAHUL ULA NGLAWAK KERTOSONO, NGANJUK;"Jln. KH. Abdul Fattah Nglawak Kertosono Nganjuk
									Nganjuk";27;1:2;C;;4 Jurusan
POLITEKNIK CALTEX;"Jalan Umban Sari No 1 Rumbai
									Pekanbaru";27;1:2;B;;11 Jurusan
SEKOLAH TINGGI ILMU PERTANIAN WUNA RAHA;"Jalan Jenderal Sudirman No 65 Lepo-lepo
									Muna";27;1:2;C;;4 Jurusan
AMIK LUWUK BANGGAI;"Jalan Dr. Sutardjo No.30 Luwuk, Luwuk - Sulawesi Tengah
									Luwuk";27;1:2;C;;2 Jurusan
AKADEMI KEPERAWATAN BARAMULI;"Jl Arnold Mononutu Airmadidi
									Minahasa Utara";27;1:2;B;;1 Jurusan
STMIK PRINGSEWU;"Jl. Wisma Rini No.9, Pringsewu Sel
									Pringsewu";27;1:2;C;;2 Jurusan
STAI KUALA KAPUAS, KALIMANTAN TENGAH;"Selat Tengah, Kec. Selat, Kabupaten Kapuas
									Sintang";27;1:3;C;;2 Jurusan
AKADEMI KEBIDANAN MUHAMMADIYAH PALOPO;"Jalan Jenderal Sudirman KM 3 Binturu
									Palopo";27;1:3;C;;1 Jurusan
